Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Japan,J-League,2018,27/07/18,11:00,FC Tokyo,V-Varen Nagasaki,0,1,A,1.55,3.98,7.23,1.57,4.15,7.6,1.53,3.9,6.31
Japan,J-League,2018,28/07/18,11:00,G-Osaka,Kashima,1,1,D,3.28,3.89,2.12,3.4,3.96,2.14,3.26,3.63,2.05
Japan,J-League,2018,28/07/18,11:00,Hiroshima,Urawa,1,4,A,2.38,3.63,2.96,2.43,3.66,3.2,2.34,3.38,2.9
Japan,J-League,2018,28/07/18,11:00,Kobe,Kashiwa,1,0,H,2.5,3.72,2.75,2.55,3.78,2.86,2.44,3.45,2.72
Japan,J-League,2018,28/07/18,11:00,Sagan Tosu,Iwata,0,0,D,2.36,3.43,3.14,2.46,3.43,3.14,2.37,3.19,3.01
Japan,J-League,2018,28/07/18,11:00,Vegalta Sendai,C-Osaka,2,2,D,2.91,3.61,2.43,2.95,3.64,2.5,2.82,3.38,2.4
Japan,J-League,2018,01/08/18,11:00,C-Osaka,Kobe,1,1,D,1.93,3.8,3.98,2.05,3.81,4.05,1.92,3.58,3.77
Japan,J-League,2018,01/08/18,11:00,Iwata,G-Osaka,1,1,D,2.14,3.53,3.53,2.25,3.53,3.54,2.14,3.36,3.3
Japan,J-League,2018,01/08/18,11:00,Kashima,FC Tokyo,1,2,A,2.32,3.42,3.23,2.5,3.43,3.3,2.33,3.22,3.06
Japan,J-League,2018,01/08/18,11:00,Shimizu,Sagan Tosu,1,0,H,2.56,3.36,2.9,2.56,3.36,3.12,2.45,3.2,2.89
Japan,J-League,2018,01/08/18,11:00,Urawa,Kawasaki Frontale,2,0,H,3.22,3.51,2.29,3.22,3.6,2.49,2.97,3.41,2.29
Japan,J-League,2018,01/08/18,11:00,Vegalta Sendai,Nagoya,1,2,A,1.81,4.27,4.06,1.85,4.3,4.35,1.78,3.91,4
Japan,J-League,2018,01/08/18,11:00,V-Varen Nagasaki,Sapporo,2,3,A,3.04,3.43,2.43,3.05,3.43,2.52,2.92,3.21,2.41
Japan,J-League,2018,01/08/18,11:30,Kashiwa,Shonan,0,2,A,1.86,3.6,4.59,1.92,3.75,4.59,1.83,3.58,4.13
Japan,J-League,2018,01/08/18,11:30,Yokohama M.,Hiroshima,1,4,A,2.61,3.72,2.63,2.72,3.78,2.64,2.56,3.56,2.52
Japan,J-League,2018,05/08/18,06:00,Sapporo,Kashiwa,1,2,A,2.27,3.76,3.06,2.45,3.8,3.17,2.28,3.44,2.96
Japan,J-League,2018,05/08/18,10:00,Nagoya,G-Osaka,3,2,H,2.83,3.73,2.43,3,3.9,2.59,2.72,3.58,2.39
Japan,J-League,2018,05/08/18,10:30,Kashima,Shimizu,1,0,H,2.13,3.48,3.62,2.18,3.6,3.66,2.07,3.38,3.47
Japan,J-League,2018,05/08/18,11:00,FC Tokyo,Kobe,1,0,H,1.86,3.79,4.32,1.97,3.79,4.5,1.86,3.52,4.09
Japan,J-League,2018,05/08/18,11:00,Hiroshima,Shonan,2,2,D,1.57,4.33,5.97,1.58,4.5,6.45,1.55,4.04,5.76
Japan,J-League,2018,05/08/18,11:00,Iwata,Vegalta Sendai,3,2,H,2.42,3.47,3.02,2.5,3.5,3.2,2.34,3.31,2.96
Japan,J-League,2018,05/08/18,11:00,Kawasaki Frontale,Yokohama M.,2,0,H,1.61,4.38,5.43,1.64,4.61,5.75,1.58,4.27,5.08
Japan,J-League,2018,05/08/18,11:00,Sagan Tosu,C-Osaka,1,0,H,2.76,3.49,2.6,2.82,3.49,2.66,2.71,3.26,2.53
Japan,J-League,2018,05/08/18,11:00,Urawa,V-Varen Nagasaki,0,0,D,1.63,3.85,6.21,1.67,4.05,6.5,1.61,3.77,5.63
Japan,J-League,2018,10/08/18,11:00,G-Osaka,FC Tokyo,2,1,H,3.52,3.65,2.1,3.68,3.65,2.17,3.38,3.39,2.1
Japan,J-League,2018,11/08/18,05:00,Sapporo,C-Osaka,1,1,D,2.8,3.51,2.56,2.8,3.6,2.73,2.57,3.4,2.61
Japan,J-League,2018,11/08/18,10:00,Nagoya,Kashima,4,2,H,3.7,4.06,1.93,3.75,4.07,2.08,3.47,3.75,1.96
Japan,J-League,2018,11/08/18,10:00,Shimizu,Kawasaki Frontale,1,2,A,4.19,3.57,1.94,4.33,3.58,2.07,3.88,3.38,1.96
Japan,J-League,2018,11/08/18,11:00,Hiroshima,V-Varen Nagasaki,2,0,H,1.58,4.11,6.29,1.61,4.3,6.5,1.57,3.97,5.67
Japan,J-League,2018,11/08/18,11:00,Kashiwa,Vegalta Sendai,0,2,A,2.03,3.7,3.72,2.05,3.76,3.75,2,3.54,3.53
Japan,J-League,2018,11/08/18,11:00,Kobe,Iwata,2,1,H,2,3.54,3.98,2.01,3.66,4.2,1.95,3.4,3.84
Japan,J-League,2018,11/08/18,11:00,Sagan Tosu,Urawa,1,0,H,3.31,3.27,2.36,3.34,3.3,2.41,3.13,3.15,2.33
Japan,J-League,2018,11/08/18,11:00,Shonan,Yokohama M.,0,1,A,3.2,4.03,2.12,3.4,4.03,2.24,3.09,3.63,2.15
Japan,J-League,2018,15/08/18,11:00,C-Osaka,Shimizu,3,1,H,1.9,3.43,4.67,1.98,3.6,4.71,1.88,3.4,4.19
Japan,J-League,2018,15/08/18,11:00,FC Tokyo,Kashiwa,0,1,A,2.07,3.62,3.66,2.15,3.62,3.7,2.04,3.45,3.49
Japan,J-League,2018,15/08/18,11:00,G-Osaka,Sapporo,1,1,D,2.72,3.82,2.49,2.8,3.82,2.6,2.65,3.54,2.47
Japan,J-League,2018,15/08/18,11:00,Kawasaki Frontale,Sagan Tosu,0,0,D,1.58,4.22,6.14,1.58,4.28,7,1.53,4.02,6.07
Japan,J-League,2018,15/08/18,11:00,Kobe,Hiroshima,1,1,D,2.43,3.66,2.87,2.52,3.67,2.95,2.42,3.4,2.78
Japan,J-League,2018,15/08/18,11:00,Urawa,Iwata,4,0,H,1.82,3.78,4.57,1.88,3.8,5,1.79,3.58,4.37
Japan,J-League,2018,15/08/18,11:00,Vegalta Sendai,Shonan,4,1,H,2.01,3.49,3.99,2.09,3.55,3.99,1.99,3.43,3.68
Japan,J-League,2018,15/08/18,11:00,V-Varen Nagasaki,Kashima,1,2,A,3.32,3.57,2.22,3.32,3.58,2.31,3.18,3.4,2.18
Japan,J-League,2018,15/08/18,11:30,Yokohama M.,Nagoya,1,2,A,1.94,4.28,3.53,2.05,4.28,3.6,1.94,3.92,3.38
Japan,J-League,2018,19/08/18,05:00,Sapporo,FC Tokyo,3,2,H,3.11,3.58,2.31,3.2,3.68,2.43,3.05,3.37,2.27
Japan,J-League,2018,19/08/18,10:00,Nagoya,Sagan Tosu,3,0,H,2.77,3.41,2.64,2.9,3.5,2.69,2.67,3.32,2.56
Japan,J-League,2018,19/08/18,10:00,Shimizu,Urawa,3,3,D,3.59,3.51,2.13,3.62,3.6,2.19,3.39,3.36,2.11
Japan,J-League,2018,19/08/18,10:00,V-Varen Nagasaki,C-Osaka,0,2,A,4.38,3.51,1.93,4.44,3.65,2.05,4.04,3.47,1.89
Japan,J-League,2018,19/08/18,10:30,Kashima,Yokohama M.,1,0,H,1.95,3.86,3.81,2.01,4.1,4.2,1.89,3.75,3.7
Japan,J-League,2018,19/08/18,11:00,Hiroshima,Kawasaki Frontale,1,2,A,2.94,3.5,2.46,3,3.65,2.46,2.84,3.38,2.39
Japan,J-League,2018,19/08/18,11:00,Iwata,Kashiwa,2,0,H,3.4,3.55,2.19,3.5,3.7,2.45,3.25,3.38,2.16
Japan,J-League,2018,19/08/18,11:00,Shonan,Kobe,0,2,A,4.1,3.44,2.01,4.1,3.5,2.16,3.71,3.36,2
Japan,J-League,2018,19/08/18,11:00,Vegalta Sendai,G-Osaka,2,1,H,2.11,3.62,3.53,2.22,3.7,3.53,2.09,3.52,3.28
Japan,J-League,2018,24/08/18,11:00,Kashima,Iwata,1,1,D,1.92,3.69,4.17,1.94,3.76,4.25,1.87,3.57,3.98
Japan,J-League,2018,25/08/18,11:00,C-Osaka,Hiroshima,0,1,A,2.6,3.49,2.78,2.63,3.49,2.81,2.5,3.34,2.72
Japan,J-League,2018,25/08/18,11:00,Kashiwa,V-Varen Nagasaki,5,1,H,1.72,3.76,5.39,1.74,3.9,5.75,1.68,3.68,5.08
Japan,J-League,2018,25/08/18,11:00,Kawasaki Frontale,Vegalta Sendai,1,0,H,1.47,4.23,8.59,1.47,4.8,9,1.42,4.44,7.34
Japan,J-League,2018,25/08/18,11:00,Shimizu,Sapporo,1,2,A,2.16,3.51,3.53,2.2,3.52,3.75,2.13,3.37,3.35
Japan,J-League,2018,26/08/18,10:00,Kobe,Yokohama M.,0,2,A,1.8,4.06,4.28,1.92,4.06,4.35,1.81,3.79,4
Japan,J-League,2018,26/08/18,10:00,Nagoya,Urawa,4,1,H,3.62,3.94,1.99,3.68,3.98,2.04,3.51,3.69,1.96
Japan,J-League,2018,26/08/18,11:00,Sagan Tosu,G-Osaka,3,0,H,2.36,3.36,3.21,2.38,3.4,3.28,2.27,3.27,3.11
Japan,J-League,2018,26/08/18,11:00,Shonan,FC Tokyo,0,0,D,4.46,3.8,1.83,4.75,3.8,1.85,4.37,3.56,1.8
Japan,J-League,2018,29/08/18,11:30,Yokohama M.,Shimizu,1,2,A,2.68,3.63,2.61,2.8,3.68,2.63,2.66,3.47,2.5
Japan,J-League,2018,31/08/18,11:00,V-Varen Nagasaki,Shonan,1,3,A,2.62,3.33,2.85,2.67,3.4,2.86,2.54,3.23,2.77
Japan,J-League,2018,01/09/18,06:00,Sapporo,Kobe,3,1,H,2.94,3.76,2.34,3,3.8,2.7,2.86,3.48,2.34
Japan,J-League,2018,01/09/18,10:30,Yokohama M.,Kashiwa,3,1,H,2.9,3.94,2.3,2.95,3.96,2.55,2.82,3.67,2.3
Japan,J-League,2018,01/09/18,11:00,G-Osaka,Kawasaki Frontale,2,0,H,5.79,4.54,1.56,6.5,4.55,1.71,5.55,4.25,1.54
Japan,J-League,2018,01/09/18,11:00,Hiroshima,Kashima,3,1,H,2.33,3.49,3.14,2.38,3.56,3.5,2.26,3.36,3.09
Japan,J-League,2018,01/09/18,11:00,Iwata,Nagoya,1,6,A,2.56,3.71,2.68,2.69,3.75,2.85,2.55,3.53,2.57
Japan,J-League,2018,01/09/18,11:00,Urawa,C-Osaka,1,2,A,2.27,3.57,3.21,2.3,3.58,3.3,2.22,3.37,3.16
Japan,J-League,2018,01/09/18,11:00,Vegalta Sendai,Shimizu,2,1,H,2.47,3.68,2.81,2.58,3.76,3.15,2.42,3.48,2.75
Japan,J-League,2018,02/09/18,11:00,FC Tokyo,Sagan Tosu,0,0,D,1.74,3.86,5.08,1.79,3.88,5.1,1.74,3.61,4.7
Japan,J-League,2018,14/09/18,11:03,C-Osaka,Iwata,1,1,D,1.95,3.36,4.5,2,3.4,4.5,1.93,3.32,4.11
Japan,J-League,2018,14/09/18,11:03,Kashima,Shonan,2,1,H,1.74,3.91,4.98,1.75,4.2,5.06,1.69,3.82,4.76
Japan,J-League,2018,15/09/18,06:00,Vegalta Sendai,FC Tokyo,1,0,H,3.41,3.29,2.28,3.41,3.6,2.42,3.08,3.32,2.29
Japan,J-League,2018,15/09/18,09:00,Sagan Tosu,Hiroshima,1,0,H,3.91,3.58,2.01,4.04,3.66,2.03,3.86,3.44,1.95
Japan,J-League,2018,15/09/18,10:00,Nagoya,V-Varen Nagasaki,3,4,A,1.83,4.25,3.93,1.88,4.38,4.33,1.8,3.92,3.93
Japan,J-League,2018,15/09/18,11:00,Kashiwa,Shimizu,2,3,A,2.39,3.57,3,2.41,3.64,3.2,2.31,3.4,2.97
Japan,J-League,2018,15/09/18,11:00,Kawasaki Frontale,Sapporo,7,0,H,1.54,4.15,6.82,1.58,4.33,7.1,1.53,4.09,5.97
Japan,J-League,2018,15/09/18,11:00,Kobe,G-Osaka,1,2,A,2.06,3.69,3.63,2.1,3.72,3.8,2.02,3.55,3.5
Japan,J-League,2018,16/09/18,08:00,Yokohama M.,Urawa,1,2,A,2.69,3.41,2.69,2.75,3.63,2.69,2.61,3.48,2.54
Japan,J-League,2018,21/09/18,11:30,Shimizu,G-Osaka,1,2,A,2.04,3.91,3.49,2.18,3.95,3.6,2.04,3.64,3.37
Japan,J-League,2018,22/09/18,07:00,Kashiwa,Sagan Tosu,1,1,D,2.36,3.44,3.15,2.42,3.44,3.25,2.3,3.26,3.11
Japan,J-League,2018,22/09/18,08:00,Iwata,Yokohama M.,1,2,A,2.94,3.52,2.42,2.94,3.7,2.6,2.74,3.47,2.44
Japan,J-League,2018,22/09/18,10:00,V-Varen Nagasaki,Vegalta Sendai,1,0,H,3.26,3.33,2.33,3.3,3.6,2.33,3.14,3.37,2.23
Japan,J-League,2018,22/09/18,11:00,Hiroshima,FC Tokyo,1,1,D,2.55,3.25,2.97,2.62,3.34,3.1,2.48,3.19,2.87
Japan,J-League,2018,22/09/18,11:00,Kawasaki Frontale,Nagoya,3,1,H,1.51,4.89,5.87,1.53,5.15,6,1.47,4.8,5.69
Japan,J-League,2018,22/09/18,11:00,Shonan,C-Osaka,1,1,D,3.51,3.45,2.16,3.8,3.76,2.19,3.41,3.42,2.1
Japan,J-League,2018,23/09/18,10:00,Urawa,Kobe,4,0,H,2.03,3.76,3.59,2.16,3.78,3.65,2.05,3.49,3.46
Japan,J-League,2018,23/09/18,11:00,Sapporo,Kashima,0,2,A,3.02,3.71,2.3,3.05,3.75,2.37,2.94,3.51,2.28
Japan,J-League,2018,26/09/18,11:30,Shonan,Kawasaki Frontale,0,0,D,6.37,4.3,1.54,6.51,4.35,1.57,6,4.17,1.52
Japan,J-League,2018,29/09/18,05:00,Sapporo,Sagan Tosu,2,1,H,2.46,3.6,2.89,2.7,3.6,3.04,2.52,3.25,2.78
Japan,J-League,2018,29/09/18,06:00,Yokohama M.,Vegalta Sendai,5,2,H,2.31,3.74,3.03,2.31,3.8,3.03,2.26,3.61,2.91
Japan,J-League,2018,29/09/18,08:00,G-Osaka,Hiroshima,1,0,H,3.75,3.58,2.06,3.8,3.75,2.15,3.57,3.48,2.01
Japan,J-League,2018,29/09/18,08:00,Kobe,Kashima,0,5,A,2.8,3.38,2.65,2.8,3.6,2.65,2.72,3.28,2.54
Japan,J-League,2018,29/09/18,09:00,FC Tokyo,Shimizu,0,2,A,1.89,3.62,4.39,1.96,3.8,4.39,1.87,3.54,4.06
Japan,J-League,2018,29/09/18,11:00,V-Varen Nagasaki,Kawasaki Frontale,1,2,A,6.52,4.15,1.55,6.9,4.33,1.55,6.33,4.03,1.51
Japan,J-League,2018,30/09/18,06:00,Urawa,Kashiwa,3,2,H,2.11,3.66,3.49,2.12,3.7,3.55,2.06,3.5,3.39
Japan,J-League,2018,05/10/18,11:30,Yokohama M.,Sapporo,2,1,H,1.81,4.33,4.01,1.9,4.35,4.15,1.8,4.04,3.81
Japan,J-League,2018,06/10/18,06:00,C-Osaka,G-Osaka,0,1,A,1.99,3.58,4,2.13,3.6,4.55,1.9,3.43,4.07
Japan,J-League,2018,06/10/18,06:00,Hiroshima,Kashiwa,0,3,A,1.96,4.18,3.51,2.05,4.2,3.85,1.94,3.78,3.51
Japan,J-League,2018,06/10/18,11:00,Kobe,V-Varen Nagasaki,1,1,D,1.94,3.7,4.01,2.06,3.7,4.01,1.97,3.44,3.75
Japan,J-League,2018,06/10/18,11:00,Sagan Tosu,Shonan,0,1,A,2.17,3.28,3.74,2.27,3.4,3.74,2.15,3.18,3.5
Japan,J-League,2018,07/10/18,05:00,Kashima,Kawasaki Frontale,0,0,D,3.64,3.25,2.22,3.64,3.5,2.44,3.11,3.25,2.3
Japan,J-League,2018,07/10/18,05:05,Vegalta Sendai,Urawa,1,1,D,3.59,3.4,2.17,3.59,3.6,2.18,3.3,3.46,2.12
Japan,J-League,2018,07/10/18,07:00,Shimizu,Iwata,5,1,H,2.08,3.5,3.75,2.11,3.51,3.76,2.05,3.41,3.52
Japan,J-League,2018,07/10/18,08:00,Nagoya,FC Tokyo,1,2,A,3.79,3.56,2.05,3.8,3.74,2.1,3.52,3.55,2
Japan,J-League,2018,19/10/18,11:30,Kashiwa,Nagoya,0,1,A,2.06,3.92,3.43,2.07,3.95,3.5,2.01,3.75,3.34
Japan,J-League,2018,20/10/18,06:00,Shimizu,Hiroshima,2,0,H,2.95,3.45,2.49,3,3.55,2.49,2.89,3.36,2.37
Japan,J-League,2018,20/10/18,06:00,Vegalta Sendai,Sagan Tosu,2,3,A,2.39,3.27,3.27,2.4,3.3,3.3,2.31,3.2,3.13
Japan,J-League,2018,20/10/18,07:00,G-Osaka,Yokohama M.,2,1,H,3.37,3.86,2.1,3.4,3.94,2.2,3.16,3.74,2.08
Japan,J-League,2018,20/10/18,08:00,Shonan,Sapporo,2,2,D,2.69,3.58,2.63,2.7,3.58,2.75,2.6,3.38,2.6
Japan,J-League,2018,20/10/18,08:00,Urawa,Kashima,3,1,H,2.51,3.46,2.91,2.51,3.46,3,2.4,3.34,2.86
Japan,J-League,2018,20/10/18,11:00,FC Tokyo,C-Osaka,0,1,A,1.99,3.71,3.82,2.1,3.71,4,1.98,3.46,3.69
Japan,J-League,2018,20/10/18,11:00,Kawasaki Frontale,Kobe,5,3,H,1.57,4.79,5.15,1.58,4.79,6,1.54,4.32,5.38
Japan,J-League,2018,21/10/18,08:00,V-Varen Nagasaki,Iwata,0,0,D,2.62,3.7,2.64,2.67,3.7,2.72,2.54,3.41,2.65
Japan,J-League,2018,28/10/18,06:00,Nagoya,Sapporo,1,2,A,2.37,3.96,2.8,2.43,3.96,2.85,2.32,3.74,2.74
Japan,J-League,2018,30/10/18,10:00,Iwata,Shonan,1,0,H,2.48,3.26,3.12,2.48,3.41,3.15,2.36,3.24,2.99
Japan,J-League,2018,31/10/18,10:00,Kashima,C-Osaka,1,0,H,3.11,3.21,2.52,3.15,3.4,2.52,2.94,3.17,2.44
Japan,J-League,2018,02/11/18,10:00,Shonan,Shimizu,0,0,D,3.48,3.69,2.11,3.6,3.69,2.2,3.4,3.46,2.07
Japan,J-League,2018,03/11/18,05:00,Iwata,Hiroshima,3,2,H,3.78,3.36,2.13,3.8,3.5,2.13,3.56,3.31,2.07
Japan,J-League,2018,03/11/18,05:00,Kawasaki Frontale,Kashiwa,3,0,H,1.63,4.47,5.03,1.64,4.55,5.5,1.59,4.24,4.93
Japan,J-League,2018,03/11/18,05:00,Nagoya,Kobe,1,2,A,2.51,3.82,2.7,2.63,3.84,2.77,2.46,3.61,2.62
Japan,J-League,2018,03/11/18,05:00,Yokohama M.,FC Tokyo,0,1,A,2.84,3.74,2.43,2.91,3.8,2.46,2.78,3.53,2.38
Japan,J-League,2018,03/11/18,07:00,Urawa,G-Osaka,1,3,A,1.71,4.43,4.4,1.78,4.46,4.65,1.71,4.02,4.35
Japan,J-League,2018,04/11/18,05:00,Sapporo,Vegalta Sendai,1,0,H,2.07,4.17,3.22,2.24,4.17,3.4,2.05,3.8,3.19
Japan,J-League,2018,04/11/18,07:00,Sagan Tosu,V-Varen Nagasaki,1,0,H,1.98,3.55,4.07,2,3.6,4.22,1.93,3.44,3.92
Japan,J-League,2018,06/11/18,10:00,C-Osaka,Nagoya,0,1,A,1.95,3.88,3.8,1.95,3.9,4.2,1.88,3.78,3.72
Japan,J-League,2018,06/11/18,10:00,Kashiwa,Kashima,2,3,A,2.22,3.64,3.27,2.22,3.65,3.4,2.14,3.45,3.22
Japan,J-League,2018,10/11/18,05:00,C-Osaka,Kawasaki Frontale,2,1,H,3.74,3.86,1.97,4,3.86,2.03,3.67,3.61,1.94
Japan,J-League,2018,10/11/18,05:00,FC Tokyo,Iwata,0,0,D,1.58,4.06,6.31,1.75,4.08,6.5,1.6,3.8,5.73
Japan,J-League,2018,10/11/18,05:00,Hiroshima,Vegalta Sendai,0,1,A,1.68,4.34,4.73,1.71,4.34,5,1.66,4.03,4.66
Japan,J-League,2018,10/11/18,05:00,Kobe,Sagan Tosu,0,0,D,2.27,3.48,3.29,2.36,3.5,3.5,2.19,3.36,3.22
Japan,J-League,2018,10/11/18,05:00,Sapporo,Urawa,1,2,A,3,3.92,2.26,3.05,3.92,2.43,2.88,3.61,2.27
Japan,J-League,2018,10/11/18,05:00,Shimizu,Nagoya,2,0,H,2.3,3.94,2.92,2.32,3.94,3,2.21,3.72,2.9
Japan,J-League,2018,10/11/18,05:00,V-Varen Nagasaki,Yokohama M.,0,1,A,3.89,4.18,1.85,4.1,4.2,1.9,3.81,3.87,1.84
Japan,J-League,2018,10/11/18,06:00,G-Osaka,Shonan,1,0,H,2.25,3.57,3.26,2.25,3.64,3.37,2.16,3.45,3.19
Japan,J-League,2018,24/11/18,05:00,C-Osaka,Kashiwa,0,3,A,2.69,3.69,2.54,2.7,3.74,2.63,2.59,3.5,2.52
Japan,J-League,2018,24/11/18,05:00,FC Tokyo,Kawasaki Frontale,0,2,A,2.42,3.58,2.9,2.45,3.58,3,2.38,3.34,2.88
Japan,J-League,2018,24/11/18,05:00,G-Osaka,V-Varen Nagasaki,2,1,H,1.87,3.61,4.36,1.88,3.85,4.75,1.81,3.63,4.26
Japan,J-League,2018,24/11/18,05:00,Hiroshima,Nagoya,1,2,A,2.32,3.74,2.95,2.32,3.74,3.1,2.25,3.56,2.92
Japan,J-League,2018,24/11/18,05:00,Iwata,Sapporo,0,2,A,2.99,3.75,2.29,3.2,3.75,2.35,2.92,3.53,2.27
Japan,J-League,2018,24/11/18,05:00,Sagan Tosu,Yokohama M.,2,1,H,2.61,3.47,2.73,2.61,3.5,2.84,2.55,3.28,2.7
Japan,J-League,2018,24/11/18,05:00,Shimizu,Kobe,3,3,D,2.4,3.51,2.98,2.4,3.56,3.04,2.33,3.38,2.92
Japan,J-League,2018,24/11/18,05:00,Shonan,Urawa,2,1,H,2.8,3.45,2.56,3.05,3.45,2.75,2.72,3.25,2.56
Japan,J-League,2018,24/11/18,05:00,Vegalta Sendai,Kashima,0,3,A,4.41,4.07,1.76,4.6,4.07,1.83,4.26,3.85,1.75
Japan,J-League,2018,25/11/18,04:00,Omiya Ardija,Verdy,0,1,A,2.38,3.14,3.36,2.38,3.33,3.56,2.25,3.07,3.28
Japan,J-League,2018,01/12/18,05:00,Kashima,Sagan Tosu,0,0,D,2.74,2.24,4.26,2.9,2.3,5.8,2.46,2.06,5.36
Japan,J-League,2018,01/12/18,05:00,Kashiwa,G-Osaka,4,2,H,2.07,3.99,3.29,2.3,3.99,3.33,2.07,3.75,3.15
Japan,J-League,2018,01/12/18,05:00,Kawasaki Frontale,Iwata,2,1,H,1.72,3.67,5.25,1.75,3.8,5.35,1.68,3.66,4.97
Japan,J-League,2018,01/12/18,05:00,Kobe,Vegalta Sendai,3,2,H,2.14,3.57,3.43,2.16,3.7,3.75,2.05,3.53,3.36
Japan,J-League,2018,01/12/18,05:00,Nagoya,Shonan,2,2,D,2.37,3.2,3.31,2.38,3.3,3.4,2.28,3.18,3.18
Japan,J-League,2018,01/12/18,05:00,Sapporo,Hiroshima,2,2,D,2.56,3.72,2.64,2.6,3.74,2.75,2.49,3.53,2.61
Japan,J-League,2018,01/12/18,05:00,Urawa,FC Tokyo,3,2,H,3.33,3.57,2.19,3.35,3.57,2.45,3.14,3.35,2.23
Japan,J-League,2018,01/12/18,05:00,V-Varen Nagasaki,Shimizu,4,4,D,3.37,3.62,2.15,3.46,3.75,2.15,3.27,3.51,2.09
Japan,J-League,2018,01/12/18,05:00,Yokohama M.,C-Osaka,1,2,A,2.19,3.8,3.13,2.21,3.8,3.3,2.14,3.6,3.09
Japan,J-League,2018,02/12/18,04:00,Yokohama,Verdy,0,1,A,2.44,3.22,3.15,2.45,3.23,3.35,2.34,3.09,3.06
Japan,J-League,2018,08/12/18,05:00,Iwata,Verdy,2,0,H,2.33,3.06,3.56,2.37,3.2,3.58,2.25,3,3.41
